repository_name,repository_url,project_name,category,scorecard_score,criticality_score
TRI-AMDD/beep,https://github.com/TRI-AMDD/beep,beep,Batteries,4.4,0.41229
TemoaProject/temoa,https://github.com/TemoaProject/temoa,Temoa,Optimization,2.9,0.41455
Thales1330/PSP,https://github.com/Thales1330/PSP,PSP-UFU,Other,2.9,0.29507
Total-RD/pymgrid,https://github.com/Total-RD/pymgrid,pymgrid,Other,2.9,0.31762
UdK-VPT/BuildingSystems,https://github.com/UdK-VPT/BuildingSystems,BuildingSystems,Other,1.8,0.38062
V2GClarity/RISE-V2G,https://github.com/V2GClarity/RISE-V2G,RISE-V2G,Other,4.1,
VOLTTRON/volttron,https://github.com/VOLTTRON/volttron,VOLTTRON,Other,4.4,0.50339
VUB-HYDR/REVUB,https://github.com/VUB-HYDR/REVUB,REVUB,Other,2.8,
WEC-Sim/WEC-Sim,https://github.com/WEC-Sim/WEC-Sim,WEC-Sim,Other,5.1,0.48487
WISDEM/AirfoilPreppy,https://github.com/WISDEM/AirfoilPreppy,AirfoilPreppy,Other,2.9,0.31609
WISDEM/LandBOSSE,https://github.com/WISDEM/LandBOSSE,LandBOSSE,Other,3.8,0.37921
WISDEM/ORBIT,https://github.com/WISDEM/ORBIT,ORBIT,Other,5.0,0.38519
WISDEM/WEIS,https://github.com/WISDEM/WEIS,WEIS,Other,4.1,0.48193
WMD-group/CarrierCapture.jl,https://github.com/WMD-group/CarrierCapture.jl,CarrierCapture.jl,Other,3.5,0.37845
YingyiLiu/HAMS,https://github.com/YingyiLiu/HAMS,HAMS,Other,2.8,0.30651
YoungFaithful/CapacityExpansion.jl,https://github.com/YoungFaithful/CapacityExpansion.jl,CapacityExpansion.jl,Other,3.1,0.32993
adamgreenhall/minpower,https://github.com/adamgreenhall/minpower,minpower,Optimization,2.1,0.25029
alliander-opensource/openstf,https://github.com/alliander-opensource/openstf,Openstf,Forecasting,4.4,0.46006
aqreed/solarpy,https://github.com/aqreed/solarpy,solarpy,Other,2.7,0.21613
architecture-building-systems/RC_BuildingSimulator,https://github.com/architecture-building-systems/RC_BuildingSimulator,RC_BuildingSimulator,Other,2.4,0.30922
arnolddevos/CIMTool,https://github.com/arnolddevos/CIMTool,CIMTool,Modeling,1.5,0.19203
audunarn/ANYstructure,https://github.com/audunarn/ANYstructure,ANYstructure,Other,1.4,0.33231
awebox/awebox,https://github.com/awebox/awebox,awebox,Other,4.3,0.34936
balmorelcommunity/Balmorel,https://github.com/balmorelcommunity/Balmorel,Balmorel,Modeling,4.7,0.32486
battery-lcf/battery-archive-sandbox,https://github.com/battery-lcf/battery-archive-sandbox,Battery Lifecycle (BLC) Framework,Batteries,2.6,0.18989
batterysim/equiv-circ-model,https://github.com/batterysim/equiv-circ-model,equiv-circ-model,Other,1.9,0.2303
beanit/iec61850bean,https://github.com/beanit/iec61850bean,IEC61850bean,Other,2.7,0.30237
bje-/NEMO,https://github.com/bje-/NEMO,NEMO,Optimization,3.1,0.2631
blue-marble/gridpath,https://github.com/blue-marble/gridpath,GridPath,Other,5.1,0.38059
brightwind-dev/brightwind,https://github.com/brightwind-dev/brightwind,brightwind,Other,4.0,0.36942
buds-lab/building-data-genome-project-2,https://github.com/buds-lab/building-data-genome-project-2,The Building Data Genome 2 Data-Set,Other,3.6,0.24686
calliope-project/calliope,https://github.com/calliope-project/calliope,Calliope,Modeling,4.8,0.42095
calliope-project/euro-calliope,https://github.com/calliope-project/euro-calliope,Euro-Calliope,Other,4.5,0.34176
catalyst-cooperative/pudl,https://github.com/catalyst-cooperative/pudl,The Public Utility Data Liberation Project,Other,6.3,0.4815
chargeprice/open-ev-data,https://github.com/chargeprice/open-ev-data,open-ev-data,Other,3.2,0.28179
cim-iec/CIMverter,https://github.com/cim-iec/CIMverter,CIMverter,Other,3.1,0.24362
com-pas/compas-core,https://github.com/com-pas/compas-core,CoMPAS,Other,5.5,0.37052
cuihantao/andes,https://github.com/cuihantao/andes,ANDES,Other,3.3,0.45664
danielePala/CIMDraw,https://github.com/danielePala/CIMDraw,CIMdraw,Modeling,2.6,0.22204
danieljfarrell/pvtrace,https://github.com/danieljfarrell/pvtrace,pvtrace,Other,3.2,0.29143
danjulio/MPPT-Solar-Charger,https://github.com/danjulio/MPPT-Solar-Charger,MPPT-Solar-Charger,Other,1.2,0.25007
davidhowey/SLIDE,https://github.com/davidhowey/SLIDE,SLIDE,Other,3.0,0.22845
dazhiyang/SolarData,https://github.com/dazhiyang/SolarData,SolarData,Other,2.2,0.19786
e2nIEE/pandapipes,https://github.com/e2nIEE/pandapipes,pandapipes,Other,5.5,0.44358
e2nIEE/pandapower,https://github.com/e2nIEE/pandapower,pandapower,Other,6.4,0.55512
