repository,default_score,repo_name,owner,project,score_category
https://github.com/SunPower/PVMismatch,0.36206,SunPower/PVMismatch,SunPower,PVMismatch,Medium (0.3-0.5)
https://github.com/RentadroneCL/Photovoltaic_Fault_Detector,0.28192,RentadroneCL/Photovoltaic_Fault_Detector,RentadroneCL,Photovoltaic_Fault_Detector,Low (0.1-0.3)
https://github.com/kamal0013/PowNet,0.34965,kamal0013/PowNet,kamal0013,PowNet,Medium (0.3-0.5)
https://github.com/sogno-platform/pintura,0.28246,sogno-platform/pintura,sogno-platform,pintura,Low (0.1-0.3)
https://github.com/powsybl/powsybl-open-loadflow,0.38763,powsybl/powsybl-open-loadflow,powsybl,powsybl-open-loadflow,Medium (0.3-0.5)
https://github.com/OSUKED/Power-Station-Dictionary,0.2776,OSUKED/Power-Station-Dictionary,OSUKED,Power-Station-Dictionary,Low (0.1-0.3)
https://github.com/powsybl/powsybl-core,0.46426,powsybl/powsybl-core,powsybl,powsybl-core,Medium (0.3-0.5)
https://github.com/JuliaEnergy/PowerDynamics.jl,0.44445,JuliaEnergy/PowerDynamics.jl,JuliaEnergy,PowerDynamics.jl,Medium (0.3-0.5)
https://github.com/PowerGenome/PowerGenome,0.36686,PowerGenome/PowerGenome,PowerGenome,PowerGenome,Medium (0.3-0.5)
https://github.com/flexiblepower/powermatcher,0.37171,flexiblepower/powermatcher,flexiblepower,powermatcher,Medium (0.3-0.5)
https://github.com/lanl-ansi/PowerModelsAnnex.jl,0.41559,lanl-ansi/PowerModelsAnnex.jl,lanl-ansi,PowerModelsAnnex.jl,Medium (0.3-0.5)
https://github.com/ie3-institute/PowerSystemDataModel,0.41875,ie3-institute/PowerSystemDataModel,ie3-institute,PowerSystemDataModel,Medium (0.3-0.5)
https://github.com/NREL-SIIP/PowerSystems.jl,0.44696,NREL-SIIP/PowerSystems.jl,NREL-SIIP,PowerSystems.jl,Medium (0.3-0.5)
https://github.com/powertac/powertac-server,0.42003,powertac/powertac-server,powertac,powertac-server,Medium (0.3-0.5)
https://github.com/pypsa-meets-africa/pypsa-africa,0.47024,pypsa-meets-africa/pypsa-africa,pypsa-meets-africa,pypsa-africa,Medium (0.3-0.5)
https://github.com/PyPSA/pypsa-eur-sec,0.41552,PyPSA/pypsa-eur-sec,PyPSA,pypsa-eur-sec,Medium (0.3-0.5)
https://github.com/pingswept/pysolar,0.39964,pingswept/pysolar,pingswept,pysolar,Medium (0.3-0.5)
https://github.com/RAMP-project/RAMP-mobility,0.3028,RAMP-project/RAMP-mobility,RAMP-project,RAMP-mobility,Medium (0.3-0.5)
https://github.com/RAMP-project/RAMP,0.36282,RAMP-project/RAMP,RAMP-project,RAMP,Medium (0.3-0.5)
https://github.com/architecture-building-systems/RC_BuildingSimulator,0.30922,architecture-building-systems/RC_BuildingSimulator,architecture-building-systems,RC_BuildingSimulator,Medium (0.3-0.5)
https://github.com/FZJ-IEK3-VSA/RESKit,0.34079,FZJ-IEK3-VSA/RESKit,FZJ-IEK3-VSA,RESKit,Medium (0.3-0.5)
https://github.com/GridProtectionAlliance/SIEGate,0.34916,GridProtectionAlliance/SIEGate,GridProtectionAlliance,SIEGate,Medium (0.3-0.5)
https://github.com/SEED-platform/seed,0.48554,SEED-platform/seed,SEED-platform,seed,Medium (0.3-0.5)
https://github.com/ImperialCollegeLondon/sharpy,0.40112,ImperialCollegeLondon/sharpy,ImperialCollegeLondon,sharpy,Medium (0.3-0.5)
https://github.com/ozsolarwind/siren,0.25462,ozsolarwind/siren,ozsolarwind,siren,Low (0.1-0.3)
https://github.com/davidhowey/SLIDE,0.22845,davidhowey/SLIDE,davidhowey,SLIDE,Low (0.1-0.3)
https://github.com/openenergymonitor/STM32,0.27893,openenergymonitor/STM32,openenergymonitor,STM32,Low (0.1-0.3)
https://github.com/e2nIEE/simbench,0.29066,e2nIEE/simbench,e2nIEE,simbench,Low (0.1-0.3)
https://github.com/SolarArbiter/solarforecastarbiter-core,0.33311,SolarArbiter/solarforecastarbiter-core,SolarArbiter,solarforecastarbiter-core,Medium (0.3-0.5)
https://github.com/NREL/SolTrace,0.35936,NREL/SolTrace,NREL,SolTrace,Medium (0.3-0.5)
https://github.com/openclimatefix/nowcasting,0.32216,openclimatefix/nowcasting,openclimatefix,nowcasting,Medium (0.3-0.5)
https://github.com/NREL/SolarPILOT,0.31027,NREL/SolarPILOT,NREL,SolarPILOT,Medium (0.3-0.5)
https://github.com/dazhiyang/SolarData,0.19786,dazhiyang/SolarData,dazhiyang,SolarData,Low (0.1-0.3)
https://github.com/tdcosim/SolarPV-DER-simulation-tool,0.25141,tdcosim/SolarPV-DER-simulation-tool,tdcosim,SolarPV-DER-simulation-tool,Low (0.1-0.3)
https://github.com/tdcosim/SolarPV-DER-simulation-utility,0.25141,tdcosim/SolarPV-DER-simulation-utility,tdcosim,SolarPV-DER-simulation-utility,Low (0.1-0.3)
https://github.com/SolarTherm/SolarTherm,0.41383,SolarTherm/SolarTherm,SolarTherm,SolarTherm,Medium (0.3-0.5)
https://github.com/Spine-project/Spine-Toolbox,0.48252,Spine-project/Spine-Toolbox,Spine-project,Spine-Toolbox,Medium (0.3-0.5)
https://github.com/slacgismo/StatisticalClearSky,0.30884,slacgismo/StatisticalClearSky,slacgismo,StatisticalClearSky,Medium (0.3-0.5)
https://github.com/NREL/SAM,0.49307,NREL/SAM,NREL,SAM,Medium (0.3-0.5)
https://github.com/buds-lab/building-data-genome-project-2,0.24686,buds-lab/building-data-genome-project-2,buds-lab,building-data-genome-project-2,Low (0.1-0.3)
https://github.com/NREL/dgen,0.35633,NREL/dgen,NREL,dgen,Medium (0.3-0.5)
https://github.com/emma-model/EMMA,0.1966,emma-model/EMMA,emma-model,EMMA,Low (0.1-0.3)
https://github.com/sandialabs/hyram,0.30021,sandialabs/hyram,sandialabs,hyram,Medium (0.3-0.5)
https://github.com/NewMotion/ocpp,0.3111,NewMotion/ocpp,NewMotion,ocpp,Medium (0.3-0.5)
https://github.com/IDAES/idaes-pse,0.45724,IDAES/idaes-pse,IDAES,idaes-pse,Medium (0.3-0.5)
https://github.com/buds-lab/the-building-data-genome-project,0.29665,buds-lab/the-building-data-genome-project,buds-lab,the-building-data-genome-project,Low (0.1-0.3)
https://github.com/catalyst-cooperative/pudl,0.4815,catalyst-cooperative/pudl,catalyst-cooperative,pudl,Medium (0.3-0.5)
https://github.com/ecmwf-projects/thermofeel,0.30475,ecmwf-projects/thermofeel,ecmwf-projects,thermofeel,Medium (0.3-0.5)
https://github.com/holgerteichgraeber/TimeSeriesClustering.jl,0.33723,holgerteichgraeber/TimeSeriesClustering.jl,holgerteichgraeber,TimeSeriesClustering.jl,Medium (0.3-0.5)
https://github.com/iat-cener/tonatiuh,0.30869,iat-cener/tonatiuh,iat-cener,tonatiuh,Medium (0.3-0.5)
https://github.com/transportenergy/database,0.36688,transportenergy/database,transportenergy,database,Medium (0.3-0.5)
https://github.com/RamiKrispin/UKgrid,0.19412,RamiKrispin/UKgrid,RamiKrispin,UKgrid,Low (0.1-0.3)
https://github.com/RamiKrispin/USgrid,0.19913,RamiKrispin/USgrid,RamiKrispin,USgrid,Low (0.1-0.3)
https://github.com/slacgismo/TESS,0.26496,slacgismo/TESS,slacgismo,TESS,Low (0.1-0.3)
https://github.com/gsoh/VED,0.18853,gsoh/VED,gsoh,VED,Low (0.1-0.3)
https://github.com/WEC-Sim/WEC-Sim,0.48487,WEC-Sim/WEC-Sim,WEC-Sim,WEC-Sim,Medium (0.3-0.5)
https://github.com/VOLTTRON/volttron,0.50339,VOLTTRON/volttron,VOLTTRON,volttron,High (0.5-0.7)
