repository_name,repository_url,project_name,category,scorecard_aggregate,criticality_score,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities
NREL/Industry-Energy-Tool,https://github.com/NREL/Industry-Energy-Tool,Industry Energy Tool,Other,2.7,0.23331,10.0,0.0,,0.0,0.0,3.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,10.0
NREL/NRWAL,https://github.com/NREL/NRWAL,NRWAL,Other,3.5,0.35306,10.0,6.0,0.0,0.0,5.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,2.0
NREL/OpenOA,https://github.com/NREL/OpenOA,OpenOA,Other,4.6,0.39566,10.0,6.0,1.0,0.0,4.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,4.0,,0.0,10.0
NREL/OpenStudio,https://github.com/NREL/OpenStudio,OpenStudio,Other,4.1,0.56265,9.0,3.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
NREL/OpenStudio-ERI,https://github.com/NREL/OpenStudio-ERI,OpenStudio-ERI,Other,2.7,0.49976,10.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,10.0
NREL/OpenStudio-HPXML,https://github.com/NREL/OpenStudio-HPXML,OpenStudio-HPXML,Other,3.4,0.50734,10.0,6.0,4.0,0.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,10.0
NREL/PV_ICE,https://github.com/NREL/PV_ICE,PV_ICE,Other,3.6,0.34002,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0
NREL/REopt_Lite_API,https://github.com/NREL/REopt_Lite_API,REopt Lite API,Optimization,5.5,0.41849,7.0,6.0,6.0,0.0,6.0,10.0,10.0,10.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,7.0
NREL/ROSCO,https://github.com/NREL/ROSCO,ROSCO,Other,4.4,,10.0,0.0,4.0,0.0,1.0,3.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,10.0
NREL/SAM,https://github.com/NREL/SAM,System Advisor Model,Other,3.6,0.49307,2.0,3.0,8.0,0.0,8.0,10.0,0.0,10.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,2.0
NREL/SolTrace,https://github.com/NREL/SolTrace,SolTrace,Other,3.7,0.35936,3.0,6.0,10.0,0.0,4.0,6.0,10.0,0.0,0.0,9.0,1.0,,0.0,0.0,0.0,,0.0,10.0
NREL/SolarPILOT,https://github.com/NREL/SolarPILOT,SolarPILOT,Other,2.9,0.31027,8.0,3.0,,0.0,0.0,6.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,10.0
NREL/WindSE,https://github.com/NREL/WindSE,WindSE,Other,3.4,0.29714,10.0,0.0,0.0,0.0,5.0,6.0,10.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,8.0
